,top_category_0901,top_category_1101,top_category_1301,top_category_1501
2018-11-07,executive_time,meeting,lunch,executive_time
2018-11-08,executive_time,meeting,lunch,executive_time
2018-11-09,travel,travel,travel,travel
2018-11-13,executive_time,meeting,lunch,executive_time
2018-11-14,executive_time,meeting,lunch,executive_time
2018-11-15,executive_time,executive_time,,meeting
2018-11-19,executive_time,meeting,event,meeting
2018-11-23,executive_time,executive_time,executive_time,executive_time
2018-11-26,executive_time,meeting,lunch,travel
2018-11-27,executive_time,event,meeting,meeting
2018-11-28,executive_time,event,lunch,meeting
2018-11-29,executive_time,travel,travel,travel
2018-11-30,executive_time,event,event,
2018-12-03,executive_time,meeting,lunch,event
2018-12-04,executive_time,meeting,lunch,executive_time
2018-12-05,executive_time,event,executive_time,executive_time
2018-12-06,executive_time,,lunch,meeting
2018-12-07,travel,travel,event,travel
2018-12-10,executive_time,meeting,lunch,executive_time
2018-12-11,executive_time,meeting,lunch,event
2018-12-12,executive_time,executive_time,lunch,executive_time
2018-12-13,executive_time,meeting,lunch,executive_time
2018-12-14,executive_time,meeting,lunch,meeting
2018-12-17,executive_time,meeting,lunch,meeting
2018-12-18,executive_time,meeting,lunch,executive_time
2018-12-19,executive_time,meeting,lunch,executive_time
2018-12-20,executive_time,meeting,lunch,executive_time
2018-12-21,executive_time,event,lunch,
2019-01-02,executive_time,meeting,lunch,meeting
2019-01-03,executive_time,meeting,lunch,executive_time
2019-01-04,executive_time,meeting,lunch,meeting
2019-01-07,executive_time,executive_time,lunch,executive_time
2019-01-08,executive_time,executive_time,event,executive_time
2019-01-09,executive_time,meeting,lunch,meeting
2019-01-10,executive_time,travel,travel,
2019-01-11,executive_time,meeting,lunch,event
2019-01-14,travel,travel,event,travel
2019-01-15,executive_time,meeting,lunch,meeting
2019-01-16,executive_time,meeting,lunch,meeting
2019-01-17,executive_time,event,lunch,executive_time
2019-01-18,executive_time,executive_time,meeting,executive_time
2019-01-21,executive_time,executive_time,executive_time,executive_time
2019-01-22,executive_time,meeting,lunch,executive_time
2019-01-23,executive_time,meeting,lunch,meeting
2019-01-24,executive_time,meeting,lunch,executive_time
2019-01-25,executive_time,meeting,lunch,event
2019-01-28,executive_time,meeting,lunch,executive_time
2019-01-29,executive_time,executive_time,lunch,meeting
2019-01-30,executive_time,meeting,lunch,executive_time
2019-01-31,executive_time,meeting,lunch,meeting
2019-02-01,executive_time,meeting,lunch,event
